
北京联通组播,#genre#
浙江卫视,http://php.jdshipin.com:8880/bst.php?id=zjws
黑龙江卫视,http://php.jdshipin.com:8880/bst.php?id=hljws
内蒙古卫视,http://php.jdshipin.com:8880/bst.php?id=nmgws
深圳卫视,http://php.jdshipin.com:8880/bst.php?id=szws
天津卫视,http://php.jdshipin.com:8880/bst.php?id=tjws
浙江卫视,http://php.jdshipin.com:8880/bst.php?id=zjwshd/4000000
天津卫视,http://php.jdshipin.com:8880/bst.php?id=tjws
浙江卫视,http://php.jdshipin.com:8880/bst.php?id=zjwshd/4000000
贵州卫视,http://php.jdshipin.com:8880/bst.php?id=gzws
吉林卫视,http://php.jdshipin.com:8880/bst.php?id=jlws
东南卫视,http://php.jdshipin.com:8880/bst.php?id=dnws
宁夏卫视,http://php.jdshipin.com:8880/bst.php?id=nxws
山东卫视,http://php.jdshipin.com:8880/bst.php?id=sdws8m/8000000
河南卫视,http://php.jdshipin.com:8880/bst.php?id=hnws
安徽卫视,http://php.jdshipin.com:8880/bst.php?id=ahwshd/4000000
东南卫视,http://php.jdshipin.com:8880/bst.php?id=dnwshd/4000000
浙江卫视,http://php.jdshipin.com:8880/bst.php?id=zjwshd8m/8000000
四川卫视,http://php.jdshipin.com:8880/bst.php?id=scws
东方卫视,http://php.jdshipin.com:8880/bst.php?id=dfwshd8m/8000000
安徽卫视,http://php.jdshipin.com:8880/bst.php?id=ahwshd8m/8000000
河北卫视,http://php.jdshipin.com:8880/bst.php?id=hbwshd8m/8000000
湖北卫视,http://php.jdshipin.com:8880/bst.php?id=hubei
东南卫视,http://php.jdshipin.com:8880/bst.php?id=dnwshd8m/8000000
广东卫视,http://php.jdshipin.com:8880/chudian.php?id=gdws
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
华语影院,http://php.jdshipin.com:8880/bst.php?id=hyyy8m/8000000
全球大片,http://php.jdshipin.com:8880/bst.php?id=qqdp8m/8000000
星光影院,http://php.jdshipin.com:8880/bst.php?id=xgyy8m/8000000
谍战剧场,http://php.jdshipin.com:8880/bst.php?id=dzjc8m/8000000
